,,Inputs,,,Outputs,,,
Brand,Type,Fac1,Fac2,GRP,Tom,SOV,Spontan,
A,Testing,-0.936,-0.452,98.84,0.030,0.0048,0.029,
A,Training,-1.007,-0.648,491.80,0.030,0.0200,0.018,
A,Testing,-0.864,-0.031,98.00,0.080,0.0042,0.003,
A,Training,-1.036,-0.633,737.35,0.030,0.0340,0.018,
A,Training,-1.004,-0.452,0.00,0.030,0.0000,0.024,
A,Training,-1.004,0.480,0.00,0.050,0.0000,0.028,
A,Training,-1.172,-0.021,836.05,0.020,0.0526,0.037,
A,Testing,-0.730,-0.067,574.51,0.020,0.0667,0.038,
A,Training,-1.315,-0.264,191.77,0.070,0.0117,0.009,
A,Training,-0.777,-0.539,437.76,0.030,0.0203,0.030,
A,Training,-1.184,-0.078,425.62,0.020,0.0255,0.036,
A,Testing,-0.936,-0.238,1312.99,0.060,0.0592,0.023,
A,Training,-0.660,0.099,379.83,0.047,0.0233,0.051,
A,Training,-0.841,0.176,668.07,0.033,0.0294,0.037,
A,Training,-0.640,0.028,482.63,0.060,0.0196,0.036,
A,Training,-0.984,-0.520,63.93,0.080,0.0037,0.060,
A,Training,-1.317,-0.152,0.00,0.040,0.0000,0.015,
A,Training,-0.490,-0.426,10.63,0.060,0.0008,0.040,
A,Training,-0.367,-0.031,295.00,0.050,0.0220,0.031,
A,Training,-0.859,-0.320,0.00,0.010,0.0000,0.039,
A,Testing,-0.850,-0.214,430.00,0.104,0.0347,0.037,
B,Testing,-0.235,-0.470,536.97,0.150,0.0263,0.057,
B,Testing,-0.226,-0.224,264.44,0.140,0.0107,0.022,
B,Training,0.555,-0.185,180.37,0.130,0.0077,0.026,
B,Training,-0.407,0.005,837.25,0.120,0.0386,0.031,
B,Training,0.226,-1.120,1161.98,0.120,0.0742,0.067,
B,Testing,-0.366,-1.101,1334.53,0.070,0.0606,0.028,
B,Training,0.147,-0.984,1076.95,0.130,0.0678,0.033,
B,Training,-0.258,-0.454,11.30,0.090,0.0013,0.042,
B,Training,-0.539,-0.136,955.38,0.080,0.0585,0.044,
B,Training,0.113,-0.281,754.52,0.070,0.0350,0.059,
B,Testing,-0.657,-0.756,115.73,0.081,0.0069,0.036,
B,Testing,-0.632,0.248,111.44,0.080,0.0050,0.050,
B,Testing,-0.380,-0.394,1376.00,0.093,0.0844,0.076,
